giornata;scorer;details
3;Ange-Yoan Bonny;Ange-Yoan Bonny, Rigore, 1° gol stagionaleAssist:Ange-Yoan Bonny, Rigore: fallo ai danni di
3;Romelu Lukaku;Romelu Lukaku, Sinistro, 1° gol stagionaleAssist:Leonardo Spinazzola, Passaggio, 1° assist stagionale
3;Frank Anguissa;Frank Anguissa, Colpo di testa, 1° gol stagionaleAssist:David Neres, Cross, 2° assist stagionale
4;Giovanni Di Lorenzo;Giovanni Di Lorenzo, Sinistro, 2° gol stagionaleAssist:Romelu Lukaku, Passaggio, 1° assist stagionale
4;Khvicha Kvaratskhelia;Khvicha Kvaratskhelia, Destro, 2° gol stagionaleAssist:Romelu Lukaku, Passaggio, 2° assist stagionale
4;Romelu Lukaku;Romelu Lukaku, Sinistro, 2° gol stagionaleAssist:Khvicha Kvaratskhelia, Passaggio, 2° assist stagionale
4;Alessandro Buongiorno;Alessandro Buongiorno, Colpo di testa, 1° gol stagionaleAssist:David Neres, Corner, 3° assist stagionale
5;NAN;NAN
6;Matteo Politano;Matteo Politano, Sinistro, 1° gol stagionaleAssist: Senza assist
6;Khvicha Kvaratskhelia;Khvicha Kvaratskhelia, Destro, 3° gol stagionaleAssist:Scott McTominay, Tiro in porta, 1° assist stagionale
7;Scott McTominay;Scott McTominay, Destro, 1° gol stagionaleAssist:Romelu Lukaku, Passaggio, 3° assist stagionale
7;Gabriel Strefezza;Gabriel Strefezza, Destro, 2° gol stagionaleAssist:Máximo Perrone, Passaggio, 1° assist stagionale
7;Romelu Lukaku;Romelu Lukaku, Rigore, 3° gol stagionaleAssist:Mathías Olivera, Rigore: fallo ai danni di
7;David Neres;David Neres, Sinistro, 1° gol stagionaleAssist:Romelu Lukaku, Passaggio, 4° assist stagionale
8;Khvicha Kvaratskhelia;Khvicha Kvaratskhelia, Rigore, 4° gol stagionaleAssist:Matteo Politano, Rigore: fallo ai danni di
