,Name,Role,Market Value,Squadra,Season
196,Berat Djimsiti,Difensore centrale,10000000.0,Atalanta BC,2022
197,Rafael Tolói,Difensore centrale,6000000.0,Atalanta BC,2022
198,José Luis Palomino,Difensore centrale,2500000.0,Atalanta BC,2022
199,Iacopo Regonesi,Difensore centrale,200000.0,Atalanta BC,2022
200,Tommaso Del Lungo,Difensore centrale,100000.0,Atalanta BC,2022
201,Joakim Maehle,Terzino destro,14000000.0,Atalanta BC,2022
202,Brandon Soppy,Terzino destro,9000000.0,Atalanta BC,2022
203,Hans Hateboer,Terzino destro,6000000.0,Atalanta BC,2022
204,Marten de Roon,Mediano,10000000.0,Atalanta BC,2022
205,Mannah Chiwisa,Mediano,125000.0,Atalanta BC,2022
206,Leonardo Mendicino,Mediano,0.0,Atalanta BC,2022
207,Éderson,Centrale,20000000.0,Atalanta BC,2022
208,Mario Pasalic,Centrale,20000000.0,Atalanta BC,2022
209,Endri Muhameti,Centrale,150000.0,Atalanta BC,2022
210,Matteo Colombo,Centrale,125000.0,Atalanta BC,2022
211,Simone Muratore,Centrale,100000.0,Atalanta BC,2022
212,Davide Zappacosta,Centrocampista di destra,7000000.0,Atalanta BC,2022
213,Nadir Zortea,Centrocampista di destra,2000000.0,Atalanta BC,2022
214,Marco Palestra,Centrocampista di destra,0.0,Atalanta BC,2022
215,Matteo Ruggeri,Centrocampista di sinistra,4000000.0,Atalanta BC,2022
216,Lorenzo Bernasconi,Centrocampista di sinistra,75000.0,Atalanta BC,2022
217,Teun Koopmeiners,Trequartista,30000000.0,Atalanta BC,2022
218,Ruslan Malinovskyi,Trequartista,15000000.0,Atalanta BC,2022
219,Jérémie Boga,Ala sinistra,14000000.0,Atalanta BC,2022
220,Lukas Vorlicky,Ala sinistra,100000.0,Atalanta BC,2022
221,Ademola Lookman,Seconda punta,30000000.0,Atalanta BC,2022
222,Tommaso De Nipoti,Seconda punta,175000.0,Atalanta BC,2022
223,Alessandro Falleni,Seconda punta,25000.0,Atalanta BC,2022
224,Rasmus Højlund,Punta centrale,45000000.0,Atalanta BC,2022
225,Duván Zapata,Punta centrale,8000000.0,Atalanta BC,2022
226,Luis Muriel,Punta centrale,5000000.0,Atalanta BC,2022
227,Ivan Provedel,Portiere,12000000.0,SS Lazio,2022
228,Luís Maximiano,Portiere,6000000.0,SS Lazio,2022
229,Marius Adamonis,Portiere,150000.0,SS Lazio,2022
230,Federico Magro,Portiere,0.0,SS Lazio,2022
231,Nicolò Casale,Difensore centrale,22000000.0,SS Lazio,2022
232,Alessio Romagnoli,Difensore centrale,18000000.0,SS Lazio,2022
233,Patric,Difensore centrale,5000000.0,SS Lazio,2022
234,Mario Gila,Difensore centrale,3000000.0,SS Lazio,2022
235,Fabio Andrea Ruggeri,Difensore centrale,75000.0,SS Lazio,2022
236,Luca Pellegrini,Terzino sinistro,7000000.0,SS Lazio,2022
237,Mohamed Salim Fares,Terzino sinistro,2000000.0,SS Lazio,2022
238,Dimitrije Kamenovic,Terzino sinistro,700000.0,SS Lazio,2022
239,Ștefan Radu,Terzino sinistro,300000.0,SS Lazio,2022
240,Adam Marusic,Terzino destro,8000000.0,SS Lazio,2022
241,Elseid Hysaj,Terzino destro,5000000.0,SS Lazio,2022
242,Djavan Anderson,Terzino destro,275000.0,SS Lazio,2022
243,Romano Floriani Mussolini,Terzino destro,75000.0,SS Lazio,2022
244,Danilo Cataldi,Mediano,10000000.0,SS Lazio,2022
245,Marco Bertini,Mediano,100000.0,SS Lazio,2022
246,Sergej Milinković-Savić,Centrale,50000000.0,SS Lazio,2022
247,Marcos Antônio,Centrale,8000000.0,SS Lazio,2022
248,Toma Bašić,Centrale,6000000.0,SS Lazio,2022
249,Matías Vecino,Centrale,4500000.0,SS Lazio,2022
250,Manuel Lazzari,Centrocampista di destra,7500000.0,SS Lazio,2022
251,Luis Alberto,Trequartista,18000000.0,SS Lazio,2022
252,Mattia Zaccagni,Ala sinistra,30000000.0,SS Lazio,2022
253,Felipe Anderson,Ala sinistra,15000000.0,SS Lazio,2022
254,Raúl Moro,Ala sinistra,2500000.0,SS Lazio,2022
255,Matteo Cancellieri,Ala destra,5000000.0,SS Lazio,2022
256,Luka Romero,Ala destra,3000000.0,SS Lazio,2022
257,Pedro,Ala destra,1500000.0,SS Lazio,2022
258,Diego González,Ala destra,750000.0,SS Lazio,2022
259,Ciro Immobile,Punta centrale,15000000.0,SS Lazio,2022
260,Pierluigi Gollini,Portiere,4500000.0,ACF Fiorentina,2022
261,Pietro Terracciano,Portiere,2000000.0,ACF Fiorentina,2022
262,Michele Cerofolini,Portiere,500000.0,ACF Fiorentina,2022
263,Salvatore Sirigu,Portiere,500000.0,ACF Fiorentina,2022
264,Tommaso Martinelli,Portiere,0.0,ACF Fiorentina,2022
265,Tommaso Vannucchi,Portiere,0.0,ACF Fiorentina,2022
266,Nikola Milenković,Difensore centrale,18000000.0,ACF Fiorentina,2022
267,Lucas Martínez Quarta,Difensore centrale,10000000.0,ACF Fiorentina,2022
268,Igor,Difensore centrale,10000000.0,ACF Fiorentina,2022
269,Luca Ranieri,Difensore centrale,2500000.0,ACF Fiorentina,2022
270,Matija Nastasic,Difensore centrale,1500000.0,ACF Fiorentina,2022
271,Dimo Krastev,Difensore centrale,200000.0,ACF Fiorentina,2022
272,Cristiano Biraghi,Terzino sinistro,5000000.0,ACF Fiorentina,2022
273,Aleksa Terzic,Terzino sinistro,2000000.0,ACF Fiorentina,2022
274,Dodô,Terzino destro,20000000.0,ACF Fiorentina,2022
275,Lorenzo Venuti,Terzino destro,2000000.0,ACF Fiorentina,2022
276,Michael Kayode,Terzino destro,800000.0,ACF Fiorentina,2022
277,Sofyan Amrabat,Mediano,30000000.0,ACF Fiorentina,2022
278,Rolando Mandragora,Mediano,10000000.0,ACF Fiorentina,2022
279,Lorenzo Amatucci,Mediano,700000.0,ACF Fiorentina,2022
280,Gaetano Castrovilli,Centrale,10000000.0,ACF Fiorentina,2022
281,Youssef Maleh,Centrale,4500000.0,ACF Fiorentina,2022
282,Alfred Duncan,Centrale,4000000.0,ACF Fiorentina,2022
283,Szymon Żurkowski,Centrale,3500000.0,ACF Fiorentina,2022
284,Giacomo Bonaventura,Centrale,2500000.0,ACF Fiorentina,2022
285,Marco Benassi,Centrale,1500000.0,ACF Fiorentina,2022
286,Alessandro Bianco,Centrale,800000.0,ACF Fiorentina,2022
287,Costantino Favasuli,Centrocampista di sinistra,200000.0,ACF Fiorentina,2022
288,Antonín Barák,Trequartista,10000000.0,ACF Fiorentina,2022
289,Riccardo Saponara,Trequartista,2000000.0,ACF Fiorentina,2022
290,Christian Kouamé,Ala sinistra,12000000.0,ACF Fiorentina,2022
291,Riccardo Sottil,Ala sinistra,8000000.0,ACF Fiorentina,2022
292,Josip Brekalo,Ala sinistra,5000000.0,ACF Fiorentina,2022
293,Nico González,Ala destra,30000000.0,ACF Fiorentina,2022
294,Jonathan Ikoné,Ala destra,16000000.0,ACF Fiorentina,2022
295,Filippo Distefano,Seconda punta,600000.0,ACF Fiorentina,2022
296,Arthur Cabral,Punta centrale,20000000.0,ACF Fiorentina,2022
297,Luka Jović,Punta centrale,8000000.0,ACF Fiorentina,2022
298,Andrea Consigli,Portiere,1000000.0,US Sassuolo Calcio,2022
299,Alessandro Russo,Portiere,350000.0,US Sassuolo Calcio,2022
300,Gioele Zacchi,Portiere,150000.0,US Sassuolo Calcio,2022
301,Gianluca Pegolo,Portiere,100000.0,US Sassuolo Calcio,2022
302,Martin Erlić,Difensore centrale,5000000.0,US Sassuolo Calcio,2022
303,Ruan,Difensore centrale,4500000.0,US Sassuolo Calcio,2022
304,Gian Marco Ferrari,Difensore centrale,2000000.0,US Sassuolo Calcio,2022
305,Filippo Romagna,Difensore centrale,400000.0,US Sassuolo Calcio,2022
306,Adrian Cannavaro,Difensore centrale,100000.0,US Sassuolo Calcio,2022
307,Rogério,Terzino sinistro,5500000.0,US Sassuolo Calcio,2022
308,Riccardo Marchizza,Terzino sinistro,1000000.0,US Sassuolo Calcio,2022
309,Edoardo Pieragnolo,Terzino sinistro,100000.0,US Sassuolo Calcio,2022
310,Jeremy Toljan,Terzino destro,4500000.0,US Sassuolo Calcio,2022
311,Mert Müldür,Terzino destro,4000000.0,US Sassuolo Calcio,2022
312,Kaan Ayhan,Terzino destro,3700000.0,US Sassuolo Calcio,2022
313,Maxime Lopez,Mediano,15000000.0,US Sassuolo Calcio,2022
314,Davide Frattesi,Centrale,25000000.0,US Sassuolo Calcio,2022
315,Matheus Henrique,Centrale,10000000.0,US Sassuolo Calcio,2022
316,Abdou Harroui,Centrale,2700000.0,US Sassuolo Calcio,2022
317,Pedro Obiang,Centrale,800000.0,US Sassuolo Calcio,2022
318,Nadir Zortea,Centrocampista di destra,2000000.0,US Sassuolo Calcio,2022
319,Georgios Kyriakopoulos,Centrocampista di sinistra,3800000.0,US Sassuolo Calcio,2022
320,Hamed Junior Traoré,Trequartista,22000000.0,US Sassuolo Calcio,2022
321,Nedim Bajrami,Trequartista,7500000.0,US Sassuolo Calcio,2022
322,Kristian Thorstvedt,Trequartista,7500000.0,US Sassuolo Calcio,2022
323,Kevin Bruno,Trequartista,0.0,US Sassuolo Calcio,2022
324,Armand Laurienté,Ala sinistra,18000000.0,US Sassuolo Calcio,2022
325,Emil Konradsen Ceide,Ala sinistra,2500000.0,US Sassuolo Calcio,2022
326,Domenico Berardi,Ala destra,18000000.0,US Sassuolo Calcio,2022
327,Luca D'Andrea,Ala destra,2500000.0,US Sassuolo Calcio,2022
328,Giacomo Raspadori,Seconda punta,35000000.0,US Sassuolo Calcio,2022
329,Andrea Pinamonti,Punta centrale,15000000.0,US Sassuolo Calcio,2022
330,Agustín Álvarez,Punta centrale,8000000.0,US Sassuolo Calcio,2022
331,Janis Antiste,Punta centrale,3000000.0,US Sassuolo Calcio,2022
332,Grégoire Defrel,Punta centrale,1500000.0,US Sassuolo Calcio,2022
333,Vanja Milinković-Savić,Portiere,3500000.0,Torino FC,2022
334,Etrit Berisha,Portiere,400000.0,Torino FC,2022
335,Luca Gemello,Portiere,300000.0,Torino FC,2022
336,Matteo Fiorenza,Portiere,50000.0,Torino FC,2022
337,Perr Schuurs,Difensore centrale,25000000.0,Torino FC,2022
338,Wilfried Singo,Difensore centrale,12000000.0,Torino FC,2022
339,Alessandro Buongiorno,Difensore centrale,10000000.0,Torino FC,2022
340,David Zima,Difensore centrale,5000000.0,Torino FC,2022
341,Andreaw Gravillon,Difensore centrale,4000000.0,Torino FC,2022
342,Koffi Djidji,Difensore centrale,3000000.0,Torino FC,2022
343,Ange Caumenan N'Guessan,Difensore centrale,200000.0,Torino FC,2022
344,Sebas Wade,Difensore centrale,10000.0,Torino FC,2022
345,Ricardo Rodríguez,Terzino sinistro,3500000.0,Torino FC,2022
346,Mërgim Vojvoda,Terzino destro,4000000.0,Torino FC,2022
347,Ola Aina,Terzino destro,3500000.0,Torino FC,2022
348,Samuele Ricci,Mediano,20000000.0,Torino FC,2022
349,Ivan Ilić,Centrale,19000000.0,Torino FC,2022
350,Saša Lukić,Centrale,12000000.0,Torino FC,2022
351,Emirhan İlkhan,Centrale,4000000.0,Torino FC,2022
352,Karol Linetty,Centrale,3500000.0,Torino FC,2022
353,Ronaldo Vieira,Centrale,2000000.0,Torino FC,2022
354,Jacopo Segre,Centrale,1700000.0,Torino FC,2022
355,Gvidas Gineitis,Centrale,900000.0,Torino FC,2022
356,Michel Adopo,Centrale,500000.0,Torino FC,2022
357,Matthew Garbett,Centrale,300000.0,Torino FC,2022
358,Aaron Ciammaglichella,Centrale,0.0,Torino FC,2022
359,Brian Bayeye,Centrocampista di destra,500000.0,Torino FC,2022
360,Ali Dembélé,Centrocampista di destra,200000.0,Torino FC,2022
361,Valentino Lazaro,Centrocampista di sinistra,5000000.0,Torino FC,2022
362,Nikola Vlašić,Trequartista,17000000.0,Torino FC,2022
363,Aleksey Miranchuk,Trequartista,12000000.0,Torino FC,2022
