,anno,giornata,Home Team,Away Team,scorer,details
4188,2024,1,US Lecce,Atalanta BC,Mateo Retegui,"Mateo Retegui, Rigore, 2° gol stagionaleAssist:Mateo Retegui, Rigore: fallo ai danni di"
4189,2024,1,US Lecce,Atalanta BC,Marco Brescianini,"Marco Brescianini, Destro, 2° gol stagionaleAssist:Mario Pasalic, Passaggio, 1° assist stagionale"
4190,2024,2,Torino FC,Atalanta BC,Mateo Retegui,"Mateo Retegui, Colpo di testa, 3° gol stagionaleAssist:Davide Zappacosta, Cross, 1° assist stagionale"
4191,2024,2,Torino FC,Atalanta BC,Ivan Ilić,"Ivan Ilić, Sinistro, 1° gol stagionaleAssist:Ché Adams, Passaggio, 1° assist stagionale"
4192,2024,2,Torino FC,Atalanta BC,Ché Adams,"Ché Adams, Destro, 1° gol stagionaleAssist: Senza assist"
4193,2024,3,FC Internazionale Milano,Atalanta BC,Berat Djimsiti,"Berat Djimsiti, AutoreteAssist:Marcus Thuram, Passaggio, 2° assist stagionale"
4194,2024,3,FC Internazionale Milano,Atalanta BC,Nicolò Barella,"Nicolò Barella, Sinistro, 1° gol stagionaleAssist:Benjamin Pavard, Colpo di testa, 1° assist stagionale"
4195,2024,3,FC Internazionale Milano,Atalanta BC,Marcus Thuram,"Marcus Thuram, Destro, 3° gol stagionaleAssist: Senza assist"
4196,2024,3,FC Internazionale Milano,Atalanta BC,Marcus Thuram,"Marcus Thuram, Destro, 4° gol stagionaleAssist:Henrikh Mkhitaryan, Colpo di testa, 1° assist stagionale"
4197,2024,4,Atalanta BC,ACF Fiorentina,Lucas Martínez Quarta,"Lucas Martínez Quarta, Sinistro, 1° gol stagionaleAssist: Senza assist"
4198,2024,4,Atalanta BC,ACF Fiorentina,Mateo Retegui,"Mateo Retegui, Colpo di testa, 4° gol stagionaleAssist:Ademola Lookman, Cross, 1° assist stagionale"
4199,2024,4,Atalanta BC,ACF Fiorentina,Moise Kean,"Moise Kean, Destro, 2° gol stagionaleAssist:Robin Gosens, Colpo di testa, 1° assist stagionale"
4200,2024,4,Atalanta BC,ACF Fiorentina,Charles De Ketelaere,"Charles De Ketelaere, Colpo di testa, 1° gol stagionaleAssist:Éderson, Cross, 1° assist stagionale"
4201,2024,4,Atalanta BC,ACF Fiorentina,Ademola Lookman,"Ademola Lookman, Destro, 1° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 1° assist stagionale"
4202,2024,5,Atalanta BC,Como 1907,Davide Zappacosta,"Davide Zappacosta, Destro, 1° gol stagionaleAssist: Senza assist"
4203,2024,5,Atalanta BC,Como 1907,Gabriel Strefezza,"Gabriel Strefezza, Destro, 1° gol stagionaleAssist:Sergi Roberto, Passaggio, 1° assist stagionale"
4204,2024,5,Atalanta BC,Como 1907,Sead Kolasinac,"Sead Kolasinac, AutoreteAssist:Nico Paz, Tiro in porta, 1° assist stagionale"
4205,2024,5,Atalanta BC,Como 1907,Alieu Fadera,"Alieu Fadera, Sinistro, 1° gol stagionaleAssist:Nico Paz, Passaggio, 2° assist stagionale"
4206,2024,5,Atalanta BC,Como 1907,Ademola Lookman,"Ademola Lookman, Rigore, 2° gol stagionaleAssist:Vanja Vlahovic, Rigore: fallo ai danni di"
4207,2024,6,Bologna FC 1909,Atalanta BC,Santiago Castro,"Santiago Castro, Destro, 3° gol stagionaleAssist:Dan Ndoye, Passaggio, 1° assist stagionale"
4208,2024,6,Bologna FC 1909,Atalanta BC,Lazar Samardžić,"Lazar Samardžić, Sinistro, 1° gol stagionaleAssist:Nicolò Zaniolo, Passaggio, 1° assist stagionale"
4209,2024,7,Atalanta BC,Genoa CFC,Mateo Retegui,"Mateo Retegui, Destro, 5° gol stagionaleAssist:Ademola Lookman, Passaggio, 2° assist stagionale"
4210,2024,7,Atalanta BC,Genoa CFC,Mateo Retegui,"Mateo Retegui, Sinistro, 6° gol stagionaleAssist: Senza assist"
4211,2024,7,Atalanta BC,Genoa CFC,Éderson,"Éderson, Destro, 1° gol stagionaleAssist:Mateo Retegui, Passaggio, 1° assist stagionale"
4212,2024,7,Atalanta BC,Genoa CFC,Mateo Retegui,"Mateo Retegui, Rigore, 7° gol stagionaleAssist: Rigore: mani diAlessandro Vogliacco"
4213,2024,7,Atalanta BC,Genoa CFC,Marten de Roon,"Marten de Roon, Destro, 1° gol stagionaleAssist: Senza assist"
4214,2024,7,Atalanta BC,Genoa CFC,Jeff Ekhator,"Jeff Ekhator, Destro, 1° gol stagionaleAssist:Filippo Melegoni, Passaggio, 1° assist stagionale"
4215,2024,8,Venezia FC,Atalanta BC,Mario Pasalic,"Mario Pasalic, Sinistro, 1° gol stagionaleAssist:Mateo Retegui, Colpo di testa, 2° assist stagionale"
4216,2024,8,Venezia FC,Atalanta BC,Mateo Retegui,"Mateo Retegui, Destro, 8° gol stagionaleAssist: Senza assist"
4217,2024,9,Atalanta BC,Hellas Verona FC,Marten de Roon,"Marten de Roon, Destro, 2° gol stagionaleAssist:Ademola Lookman, Passaggio, 3° assist stagionale"
4218,2024,9,Atalanta BC,Hellas Verona FC,Mateo Retegui,"Mateo Retegui, Sinistro, 9° gol stagionaleAssist: Senza assist"
4219,2024,9,Atalanta BC,Hellas Verona FC,Charles De Ketelaere,"Charles De Ketelaere, Sinistro, 2° gol stagionaleAssist:Ademola Lookman, Passaggio, 4° assist stagionale"
4220,2024,9,Atalanta BC,Hellas Verona FC,Ademola Lookman,"Ademola Lookman, Azione personale, 3° gol stagionaleAssist: Senza assist"
4221,2024,9,Atalanta BC,Hellas Verona FC,Ademola Lookman,"Ademola Lookman, Destro, 4° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 2° assist stagionale"
4222,2024,9,Atalanta BC,Hellas Verona FC,Amin Sarr,"Amin Sarr, Sinistro, 1° gol stagionaleAssist:Reda Belahyane, Passaggio, 2° assist stagionale"
4223,2024,9,Atalanta BC,Hellas Verona FC,Mateo Retegui,"Mateo Retegui, Sinistro, 10° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 3° assist stagionale"
4224,2024,10,Atalanta BC,AC Monza,Lazar Samardžić,"Lazar Samardžić, Sinistro, 2° gol stagionaleAssist:Mateo Retegui, Passaggio, 3° assist stagionale"
4225,2024,10,Atalanta BC,AC Monza,Davide Zappacosta,"Davide Zappacosta, Destro, 2° gol stagionaleAssist:Lazar Samardžić, Passaggio, 1° assist stagionale"
4226,2024,11,SSC Napoli,Atalanta BC,Ademola Lookman,"Ademola Lookman, Sinistro, 5° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 4° assist stagionale"
4227,2024,11,SSC Napoli,Atalanta BC,Ademola Lookman,"Ademola Lookman, Destro, 6° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 5° assist stagionale"
