,anno,giornata,Home Team,Away Team,scorer,numero_goal_partita,team_goal,goal,goal_home,goal_away,assist
4318,2024,11,Hellas Verona FC,AS Roma,Artem Dovbyk,4.0,away,2:2,2.0,2.0,Zeki Çelik
4319,2024,11,Hellas Verona FC,AS Roma,Abdou Harroui,5.0,home,3:2,3.0,2.0,Dailon Rocha Livramento
4320,2024,12,AS Roma,Bologna FC 1909,Santiago Castro,1.0,away,0:1,0.0,1.0,Riccardo Orsolini
4321,2024,12,AS Roma,Bologna FC 1909,Stephan El Shaarawy,2.0,home,1:1,1.0,1.0,Gianluca Mancini
4322,2024,12,AS Roma,Bologna FC 1909,Riccardo Orsolini,3.0,away,1:2,1.0,2.0,Santiago Castro
4323,2024,12,AS Roma,Bologna FC 1909,Jesper Karlsson,4.0,away,1:3,1.0,3.0,Juan Miranda
4324,2024,12,AS Roma,Bologna FC 1909,Stephan El Shaarawy,5.0,home,2:3,2.0,3.0,Eldor Shomurodov
4328,2024,15,AS Roma,US Lecce,Alexis Saelemaekers,1.0,home,1:0,1.0,0.0,Stephan El Shaarawy
4329,2024,15,AS Roma,US Lecce,Nikola Krstović,2.0,away,1:1,1.0,1.0,Lassana Coulibaly
4330,2024,15,AS Roma,US Lecce,Gianluca Mancini,3.0,home,2:1,2.0,1.0,Stephan El Shaarawy
4331,2024,15,AS Roma,US Lecce,Niccolò Pisilli,4.0,home,3:1,3.0,1.0,Saud Abdulhamid
4332,2024,15,AS Roma,US Lecce,Manu Koné,5.0,home,4:1,4.0,1.0,Niccolò Pisilli
4333,2024,16,Como 1907,AS Roma,Alessandro Gabrielloni,1.0,home,1:0,1.0,0.0,Patrick Cutrone
4334,2024,16,Como 1907,AS Roma,Nico Paz,2.0,home,2:0,2.0,0.0,Alessandro Gabrielloni
4335,2024,17,AS Roma,AS Roma,Paulo Dybala,1.0,home,1:0,1.0,0.0,Paulo Dybala
4336,2024,17,AS Roma,AS Roma,Alexis Saelemaekers,2.0,home,2:0,2.0,0.0,Angeliño
4337,2024,17,AS Roma,AS Roma,Paulo Dybala,3.0,home,3:0,3.0,0.0,Artem Dovbyk
4338,2024,17,AS Roma,AS Roma,Leandro Paredes,4.0,home,4:0,4.0,0.0,Alexis Saelemaekers
4339,2024,17,AS Roma,AS Roma,Artem Dovbyk,5.0,home,5:0,5.0,0.0,Paulo Dybala
4342,2024,19,AS Roma,SS Lazio,Lorenzo Pellegrini,1.0,home,1:0,1.0,0.0,Alexis Saelemaekers
4343,2024,19,AS Roma,SS Lazio,Alexis Saelemaekers,2.0,home,2:0,2.0,0.0,Senza assist
4344,2024,1,AS Roma,ACF Fiorentina,Dennis Man,1.0,home,1:0,1.0,0.0,Ange-Yoan Bonny
4345,2024,1,AS Roma,ACF Fiorentina,Cristiano Biraghi,2.0,away,1:1,1.0,1.0,
4346,2024,2,ACF Fiorentina,Venezia FC,,,,,,,
4347,2024,3,ACF Fiorentina,AC Monza,Milan Djuric,1.0,away,0:1,0.0,1.0,Pedro Pereira
4348,2024,3,ACF Fiorentina,AC Monza,Daniel Maldini,2.0,away,0:2,0.0,2.0,Georgios Kyriakopoulos
4349,2024,3,ACF Fiorentina,AC Monza,Moise Kean,3.0,home,1:2,1.0,2.0,Luca Ranieri
4350,2024,3,ACF Fiorentina,AC Monza,Robin Gosens,4.0,home,2:2,2.0,2.0,Yacine Adli
4356,2024,5,ACF Fiorentina,SS Lazio,Mario Gila,1.0,away,0:1,0.0,1.0,Nuno Tavares
4357,2024,5,ACF Fiorentina,SS Lazio,Albert Gudmundsson,2.0,home,1:1,1.0,1.0,Albert Gudmundsson
4358,2024,5,ACF Fiorentina,SS Lazio,Albert Gudmundsson,3.0,home,2:1,2.0,1.0,Dodô
4359,2024,6,Empoli FC,ACF Fiorentina,,,,,,,
4363,2024,8,US Lecce,ACF Fiorentina,Danilo Cataldi,1.0,away,0:1,0.0,1.0,Edoardo Bove
4364,2024,8,US Lecce,ACF Fiorentina,Andrea Colpani,2.0,away,0:2,0.0,2.0,Senza assist
4365,2024,8,US Lecce,ACF Fiorentina,Danilo Cataldi,3.0,away,0:3,0.0,3.0,Senza assist
4366,2024,8,US Lecce,ACF Fiorentina,Andrea Colpani,4.0,away,0:4,0.0,4.0,Senza assist
4367,2024,8,US Lecce,ACF Fiorentina,Lucas Beltrán,5.0,away,0:5,0.0,5.0,Christian Kouamé
4368,2024,8,US Lecce,ACF Fiorentina,Fabiano Parisi,6.0,away,0:6,0.0,6.0,Andrea Colpani
4375,2024,10,Genoa CFC,ACF Fiorentina,Robin Gosens,1.0,away,0:1,0.0,1.0,Lucas Beltrán
4376,2024,11,Torino FC,ACF Fiorentina,Moise Kean,1.0,away,0:1,0.0,1.0,Luca Ranieri
4377,2024,12,ACF Fiorentina,Hellas Verona FC,Moise Kean,1.0,home,1:0,1.0,0.0,Lucas Beltrán
4378,2024,12,ACF Fiorentina,Hellas Verona FC,Suat Serdar,2.0,away,1:1,1.0,1.0,Senza assist
4379,2024,12,ACF Fiorentina,Hellas Verona FC,Moise Kean,3.0,home,2:1,2.0,1.0,Yacine Adli
4380,2024,12,ACF Fiorentina,Hellas Verona FC,Moise Kean,4.0,home,3:1,3.0,1.0,David de Gea
4381,2024,13,Como 1907,ACF Fiorentina,Yacine Adli,1.0,away,0:1,0.0,1.0,Lucas Beltrán
4382,2024,13,Como 1907,ACF Fiorentina,Moise Kean,2.0,away,0:2,0.0,2.0,Riccardo Sottil
4383,2024,15,ACF Fiorentina,Cagliari Calcio,Danilo Cataldi,1.0,home,1:0,1.0,0.0,Lucas Beltrán
4384,2024,16,Bologna FC 1909,ACF Fiorentina,Jens Odgaard,1.0,home,1:0,1.0,0.0,Remo Freuler
4385,2024,17,ACF Fiorentina,Udinese Calcio,Moise Kean,1.0,home,1:0,1.0,0.0,Riccardo Sottil
